y_true,y_pred,abs_error,abs_error_percetage,nll,v,alpha,beta,abs_error_percentage
-20.0,-0.26059452,19.73940548300743,19.73940548300743,0.80336034,0.016910963,1.0004531,0.0026883052,98.69702741503716
-12.0,-0.33670917,11.663290828466415,11.663290828466415,0.64388394,0.021596251,1.0074899,0.0003264649,97.19409023722012
-28.0,-54.661854,26.661853790283203,26.661853790283203,7.0176535,0.008544584,1.2849731,6.0450348e-06,95.22090639386859
-60.0,-113.876495,53.876495361328125,53.876495361328125,6.6499066,0.00058721204,1.0166793,1.3304383e-06,89.79415893554688
66.58,7.7572927,58.82270725250244,58.82270725250244,5.8395443,0.010201727,1.0029918,6.272651e-05,88.3489144675615
-60.0,-112.74574,52.74574279785156,52.74574279785156,6.9608545,0.00057745643,1.053431,1.0932401e-06,87.90957132975261
31.0,4.342284,26.657715797424316,26.657715797424316,7.1233354,0.0050514466,1.073744,1.220873e-06,85.99263160459456
-69.8104385128693,-15.735887,54.07455193907779,54.07455193907779,7.3244386,0.005657485,1.0144587,6.541942e-06,77.459120857849
44.0,11.902423,32.09757709503174,32.09757709503174,8.319464,0.0043906188,1.166844,1.0443999e-06,72.94903885234486
8.88,15.34759,6.467590446472167,6.467590446472167,1.3206732,0.0042883637,1.0029842,3.589545e-06,72.83322574856044
-59.0,-18.649961,40.35003852844238,40.35003852844238,2.4195971,0.009074381,1.0005438,0.0007135953,68.3898958109193
-107.0,-37.22782,69.77217864990234,69.77217864990234,11.524351,0.018343512,1.4722409,1.4967718e-05,65.20764359803957
-45.0,-16.32311,28.676889419555664,28.676889419555664,3.2609675,0.036248375,1.062211,0.00040727347,63.72642093234592
-52.0,-84.88686,32.886863708496094,32.886863708496094,4.6436687,0.0027669033,1.0209243,1.0660452e-05,63.2439686701848
-17.0,-6.51661,10.483389854431152,10.483389854431152,0.2713468,0.029087266,1.0126234,0.0006860822,61.66699914371266
19.0,7.519164,11.480835914611816,11.480835914611816,1.8533176,0.009752356,1.0062147,2.699381e-05,60.425452182167454
16.43,7.213599,9.21640079498291,9.21640079498291,2.6762106,0.0076432745,1.0192173,4.6281466e-06,56.09495310397389
16.0,7.0676756,8.932324409484863,8.932324409484863,3.3919241,0.0061641773,1.0408412,1.7812708e-06,55.827027559280396
-74.0,-33.235718,40.7642822265625,40.7642822265625,1.8675804,0.01986287,1.0024352,0.0038607973,55.086867873733105
16.0,7.252021,8.747979164123535,8.747979164123535,1.5367627,0.008969095,1.0086031,1.5253422e-05,54.674869775772095
16.0,7.5453367,8.454663276672363,8.454663276672363,0.9973036,0.0098150335,1.0060172,2.8417526e-05,52.84164547920227
-59.0,-89.55743,30.55742645263672,30.55742645263672,6.7522225,0.0019755354,1.1603708,1.5295972e-06,51.792248224808
-9.0,-4.3603106,4.6396894454956055,4.6396894454956055,1.6226245,0.013443939,1.1615635,4.229743e-06,51.55210494995117
-106.0,-51.960846,54.039154052734375,54.039154052734375,6.768557,0.010427009,1.101168,3.1480624e-05,50.980334012013564
19.71,28.84326,9.133259811401366,9.133259811401366,0.6625846,0.008023058,1.000011,0.0032512157,46.338203000514284
-25.0,-36.025097,11.025096893310547,11.025096893310547,3.6305072,0.020183492,1.3990638,2.2843298e-05,44.10038757324219
-28.0,-40.264343,12.26434326171875,12.26434326171875,1.7352968,0.013533644,1.0573084,5.8032863e-05,43.80122593470982
-59.0,-83.340775,24.340774536132812,24.340774536132812,2.8837702,0.005172529,1.0280524,4.9873517e-05,41.255550061242054
16.43,23.161287,6.731287307739258,6.731287307739258,0.6701832,0.00930766,1.0000176,0.00410139,40.96949061314216
-69.0,-97.01217,28.012168884277344,28.012168884277344,3.3387315,0.0030489364,1.0179372,2.7229853e-05,40.5973462090976
16.43,9.885623,6.5443770217895505,6.5443770217895505,-0.1952286,0.011157026,1.0022287,0.00010221649,39.83187475221881
-25.0,-34.93594,9.93593978881836,9.93593978881836,0.6114803,0.008825322,1.0081072,7.790734e-05,39.74375915527344
-37.0,-22.62169,14.37830924987793,14.37830924987793,3.234495,0.020984745,1.1585591,4.0046278e-05,38.86029526994035
-88.0,-55.587063,32.41293716430664,32.41293716430664,2.9794161,0.007023091,1.008883,0.00014149267,36.83288314125755
-17.0,-11.080155,5.919844627380371,5.919844627380371,-0.30044827,0.034708582,1.0140761,0.0013060945,34.822615455178656
42.0,27.387423,14.612577438354492,14.612577438354492,2.092143,0.004467464,1.0003209,1.9938037e-05,34.79185104370117
-103.0,-68.775,34.224998474121094,34.224998474121094,3.424627,0.0019807967,1.0022229,2.8675417e-05,33.22815385836999
25.0,16.967482,8.03251838684082,8.03251838684082,0.34819698,0.00395654,1.0000083,0.0007947344,32.13007354736328
-104.0,-72.4584,31.541603088378906,31.541603088378906,1.291159,0.0020421091,1.0000684,0.0006699566,30.32846450805664
19.71,13.835063,5.874937019348145,5.874937019348145,-0.17943513,0.011644225,1.0003073,0.00068408553,29.806884928199622
