"C, wt.%","Si, wt.%","Mn, wt.%","P, wt.%","S, wt.%","Ni, wt.%","Cr, wt.%","Mo, wt.%","Al, wt.%","N, wt.%","Ti, wt.%","Fe, wt.%","Nb, wt.%","B, wt.%","Cu, wt.%","V, wt.%","Zr, wt.%","W, wt.%","Sn, wt.%","Co, wt.%","O, wt,%","Ta, wt.%","As, wt%","Sb, wt.%",Length (mm),Width (mm),Thickness (mm),Test Temperature (C) ,Impact energy (J),DBTT,USE
0.2,0.0,0.25,0.0,0.0,3.4,1.83,0.49,0.0,0.0,0.0,93.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-15.3061224489795,132.558139534883,-14.0,186.627906976744
0.19,0.0,0.3,0.0,0.0,3.59,1.79,0.49,0.0,0.0,0.0,93.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-90.1205936920222,58.1257413997627,-59.0,206.8224068191889
0.22,0.2,1.23,0.007,0.0022,0.86,0.21,0.49,0.0,0.0,0.0,96.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-60.0806451612903,1.25470514429108,-12.0,165.326765934577
0.17,0.25,1.3,0.009,0.003,0.73,0.1,0.47,0.0,0.0,0.0,96.903,0.0,0.0,0.063,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.5,2.5,-85.0340136054422,1.87542468856172,-81.0,4.404572996775642
0.22,0.22,1.27,0.013,0.013,0.59,0.11,0.57,0.021,0.006,0.01,96.7756,0.0,0.0004,0.15,0.001,0.001,0.01,0.009,0.01,0.0,0.0,0.0,0.0,55.0,10.0,10.0,71.72839506172834,86.12005533834586,66.58,131.8797906428824
0.21,0.0,0.32,0.002,0.002,3.65,1.04,0.54,0.0,0.0,0.0,94.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-15.2823920265781,102.967741935483,-25.0,187.7889889295027
0.22,0.22,1.27,0.013,0.013,0.59,0.11,0.57,0.021,0.006,0.01,96.7756,0.0,0.0004,0.15,0.001,0.001,0.01,0.009,0.01,0.0,0.0,0.0,0.0,55.0,10.0,10.0,216.048237476808,189.852398523985,15.0,183.6428102769749
0.21,0.0,0.11,0.002,0.002,3.64,1.85,0.54,0.0,0.0,0.0,93.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-59.5970307529162,174.31421446384,-82.0,241.9928682732169
0.23,0.22,1.31,0.003,0.017,0.7,0.003,0.52,0.0,0.01,0.0,96.6824,0.0,0.0006,0.3,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-61.4973262032085,7.90419161676646,32.0,153.1501711457589
0.15,0.25,1.2,0.0,0.0,0.37,0.23,0.08,0.02,0.0,0.0,97.61,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,23.8341968911916,372.732181425485,-35.0,390.4689643866132
0.18,0.24,1.42,0.017,0.004,0.84,0.14,0.51,0.0,0.0,0.0,96.509,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,39.7058823529411,76.0956175298805,44.0,238.2646412935093
0.19,0.27,1.35,0.008,0.02,0.56,0.0,0.55,0.0,0.0,0.0,96.982,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,123.555274943302,87.6943554838136,42.0,98.6303627532474
0.19,0.0,0.3,0.0,0.0,3.59,1.79,0.49,0.0,0.0,0.0,93.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-90.1205936920222,164.827995255041,-87.0,262.6942396976352
0.21,0.0,0.0,0.0,0.0,3.65,1.04,0.54,0.0,0.0,0.0,94.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-75.3799392097264,21.8340611353711,-37.0,178.7008675567533
0.2,0.22,1.49,0.006,0.008,0.59,0.0,0.46,0.0,0.0,0.0,96.962,0.0,0.0,0.06,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,3.33,3.33,-135.005015956557,3.067330129906,-85.0,6.936235575815132
0.19,0.23,1.33,0.007,0.001,0.52,0.062,0.53,0.056,0.009,0.0,97.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-40.9234972677595,169.795918367346,-82.0,174.3089392844797
0.2,0.0,0.33,0.002,0.0,3.7,1.86,1.0,0.0,0.0,0.0,92.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,25.0,183.655274888558,-71.0,198.4653123247844
0.22,0.18,1.35,0.01,0.012,0.62,0.0,0.62,0.0,0.0,0.0,96.848,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,5.0,5.0,230.316248636859,8.20624151967435,198.0,11.39367127621349
